title,introdate,avg_out_of_state_score,avg_out_of_state_quintile,party,bill,house_senate,max_score,max_score_quintile,count,uquintile,sponsor,memberID
insurance; risk management; solvency assessment,2016-01-13T13:49:46,19.69,1,R,HB2188,House,64,1,21581,1,Karen Fann,43
technical correction; department of agriculture,2016-01-19T17:05:27,10.43,2,R,SCM1003,Senate,36,5,1457,3,Gail Griffin,14
voter registration records; death records,2016-01-11T08:45:17,10.34,2,R,HB2084,House,40,3,1018,4,David W. Stevens,56
universities; in-state tuition; refugees,2016-01-13T15:31:24,9.80,2,D,SB1123,Senate,55,1,6060,2,Steve Farley,9
marijuana; regulation; taxation,2015-12-10T10:53:14,15.52,1,D,HB2006,House,60,1,14073,1,Mark A. Cardenas,58
DCS; backlog cases; private contractors.,2016-01-14T16:29:02,7.94,5,R,HB2389,House,40,3,104,5,John M. Allen,54
G&F; law enforcement; omnibus,2016-01-05T16:59:22,9.74,2,R,HB2038,House,64,1,908,4,Sonny Borrelli,35
animal abuser registration; registry,2015-12-10T17:05:12,11.23,1,D,SB1011,Senate,41,2,8675,2,Andrew C. Sherwood,91
executive clemency board; legal services,2016-01-26T16:26:48,9.95,2,D,SB1338,Senate,40,3,4996,2,Martin Quezada,29
constables; repeal,2016-01-14T14:58:15,7.18,5,R,HB2339,House,40,3,182816,1,Darin Mitchell,37
schools; statewide achievement assessments; menu,2016-01-26T14:04:01,9.88,2,R,SB1321,Senate,35,5,180,5,Sylvia Allen,6
regulatory integrity protection act,2016-01-22T14:35:34,8.12,4,R,SCM1008,Senate,42,2,537,4,Gail Griffin,14
white collar crime offender registry,2016-02-03T15:08:43,10.81,1,D,HB2604,House,64,1,4636,2,Debbie McCune Davis,85
abortion clinics; inspection; repeal,2016-02-01T15:15:00,9.28,3,D,SB1476,Senate,40,3,125,5,Andrew C. Sherwood,91
technical correction; budget estimates,2016-01-12T14:19:32,12.82,1,R,HB2135,House,36,5,135,5,Kate Brophy McGee,79
public employees; collective bargaining,2016-01-26T16:24:30,9.07,3,D,SB1333,Senate,56,1,57919,1,Martin Quezada,29
Chicano history week,2016-01-14T18:29:22,7.70,5,D,HCR2034,House,28,5,259,5,Juan Mendez,62
schools; CPR instruction,2016-01-11T15:43:14,7.64,5,R,HB2108,House,40,3,9543,2,Doug Coleman,55
technical correction; public roadways,2016-01-20T14:22:50,10.90,1,R,SB1219,Senate,40,3,839,4,Carlyle Begay,7
outdoor advertising,2016-01-19T09:47:48,8.58,4,R,HB2507,House,44,2,4262,2,Sonny Borrelli,35
liquor; sampling; eligibility; square footage,2016-01-13T13:44:46,9.51,2,R,HB2182,House,40,3,4807,2,"Thomas R. Shope, Jr.",36
motor vehicle franchises; motorcycle dealers,2016-01-14T17:16:59,11.06,1,R,HB2441,House,40,3,1498,3,Warren H. Petersen,69
administratively recommended wilderness; urging Congress,2016-01-28T16:39:38,7.55,5,R,SCM1014,Senate,43,2,432,4,Gail Griffin,14
medical examiner; jurisdiction; death reporting,2016-01-13T10:04:24,10.04,2,R,SB1104,Senate,40,3,21960,1,Nancy Barto,15
ballots; defects; notice and cure,2016-01-11T10:48:47,8.87,3,D,HB2094,House,44,2,2395,3,Ken Clark,63
motorcycle riders; helmets; fees,2016-01-06T16:28:07,7.79,5,D,HB2052,House,63,1,4718,2,Randall Friese,45
child care waiting list; appropriation.,2016-02-04T18:20:22,9.53,2,D,HB2632,House,36,5,10847,1,Lela Alston,49
preadoption certification investigation,2016-01-14T17:05:36,10.71,1,R,HB2418,House,40,3,12009,1,John M. Allen,54
county power districts; formation; duties,2016-02-01T16:31:00,8.71,3,R,SB1506,Senate,40,3,2878,3,Carlyle Begay,7
retirement; return to work; restrictions,2016-01-14T09:30:32,10.24,2,R,HB2237,House,43,2,25443,1,John M. Allen,54
driving instruction permit; age requirement,2016-01-08T14:51:03,11.37,1,R,HB2080,House,40,3,10238,2,Kelly Townsend,53
catastrophic public nuisance; determination; abatement,2016-01-06T12:41:38,18.02,1,R,HB2051,House,56,1,192,5,Mark Finchem,80
provisional ballots; verification; tally,2016-01-11T12:17:56,12.23,1,D,SB1077,Senate,40,3,7687,2,Martin Quezada,29
independent expenditures; corporations; funding disclosures.,2016-01-11T11:44:03,8.92,3,D,SB1071,Senate,40,3,12670,1,Martin Quezada,29
PSPRS; CORP; EORP; administration changes,2016-02-04T18:42:19,10.54,2,R,HB2643,House,40,3,10233,2,Justin Olson,78
ASRS; retention of credited service,2016-01-11T13:47:02,6.22,5,R,HB2104,House,12,5,23,5,Phil Lovas,68
national motor vehicle title system,2016-01-25T17:08:43,9.09,3,R,HB2543,House,40,3,1430,3,Rick Gray,40
electronic records; storage,2016-02-01T14:04:00,10.63,2,R,SB1461,Senate,54,1,3568,3,Bob Worsley,25
sexual orientation change efforts; prohibition,2016-02-01T14:06:00,11.32,1,D,SB1464,Senate,40,3,1723,3,Robert Meza,30
drug lab remediation; assayers; repeal,2016-01-21T13:36:19,7.35,5,R,SB1256,Senate,30.5,5,1167,4,John Kavanagh,23
technical correction; overtaking bicycles,2016-01-11T11:40:56,9.17,3,R,SB1063,Senate,40,3,26,5,Judy Burges,22
tax credits; sunset,2016-01-19T16:01:34,7.87,5,D,SB1177,Senate,40,3,6969,2,Steve Farley,9
Arizona veteran family adoption; day,2016-01-20T16:33:06,6.61,5,D,SCR1007,Senate,21.5,5,140,5,Catherine Miranda,27
application; Article V convention,2016-01-11T16:25:52,16.02,1,R,HCR2010,House,60,1,4480,2,Kelly Townsend,53
racial impact statements; legislative council,2016-01-14T13:38:29,8.65,4,D,HB2285,House,40,3,388,4,Juan Mendez,62
technical correction; home health agencies,2016-01-29T16:50:00,8.51,4,R,SB1446,Senate,40,3,398,4,Nancy Barto,15
state employee suggestion program; awards,2016-01-27T11:51:03,9.74,2,R,SB1353,Senate,40,3,1619,3,Jeff Dial,18
community college boards; terms; duration,2016-01-25T14:27:56,9.09,3,R,HB2535,House,40,3,3914,2,"Thomas R. Shope, Jr.",36
special census; lawful presence,2016-01-05T10:46:24,9.81,2,R,SB1044,Senate,40,3,5817,2,John Kavanagh,23
school districts; adjacent ways; verification,2016-01-13T13:44:56,8.70,4,R,SB1117,Senate,40,3,656,4,Jeff Dial,18
animal cruelty; adequate shelter,2016-01-14T10:31:21,8.82,3,R,HB2246,House,40,3,1695,3,Jay Lawrence,71
postsecondary campuses; public forums; activities,2016-01-26T14:14:39,11.89,1,R,HB2548,House,56,1,403,4,Paul Boyer,60
technical correction; state land; sale,2016-01-14T15:21:59,8.91,3,R,HB2361,House,40,3,116,5,Heather Carter,81
voter registration deadlines; registration method,2016-01-11T12:18:43,9.05,3,D,SB1079,Senate,40,3,2209,3,Martin Quezada,29
technical correction; escape; secure facility,2016-01-08T14:50:28,8.83,3,R,HB2079,House,28,5,520,4,Kelly Townsend,53
adequate water supply requirements; municipalities,2016-01-22T14:33:41,7.10,5,R,SB1268,Senate,20,5,1308,3,Gail Griffin,14
housing trust fund; funding sources,2016-01-27T14:02:04,8.37,4,D,SB1355,Senate,40,3,6402,2,Steve Farley,9
information technology; consolidated purchasing,2016-01-29T13:19:00,8.79,3,R,SB1434,Senate,27.5,5,156,5,Don Shooter,13
water banking authority; report,2016-01-28T14:37:39,7.74,5,R,SB1400,Senate,40,3,42,5,Gail Griffin,14
JTED restoration and reforms,2016-02-04T13:46:21,8.88,3,R,SB1525,Senate,36,5,4152,2,Don Shooter,13
insurance coverage; telemedicine,2016-01-27T14:24:55,9.18,3,R,SB1363,Senate,48,2,13293,1,Gail Griffin,14
intergovernmental public transportation authority; taxation,2016-01-21T09:30:30,8.43,4,R,SB1250,Senate,40,3,5098,2,Don Shooter,13
open meetings; audiovisual recordings,2016-02-02T12:14:01,9.98,2,R,HB2583,House,40,3,11762,1,David W. Stevens,56
data center tax relief; qualification,2016-02-02T12:14:52,8.88,3,R,HB2584,House,76,1,30942,1,David W. Stevens,56
tax credit; early childhood education,2016-02-08T17:35:58,7.44,5,D,HB2685,House,40,3,6499,2,Reginald Bolding Jr.,46
governors economic opportunity office; consolidation,2016-02-08T16:19:01,7.03,5,R,HB2666,House,40,3,142649,1,Karen Fann,43
technical correction; urging the president,2016-01-19T17:05:49,11.05,1,R,SCM1004,Senate,39,4,1494,3,Gail Griffin,14
mental health power of attorney,2016-01-19T14:19:30,9.06,3,R,SB1169,Senate,40,3,14435,1,Nancy Barto,15
children; outofhome care; transportation,2016-01-06T16:47:36,6.82,5,R,HB2060,House,16,5,17,5,Kelly Townsend,53
municipal tax exemption; residential lease,2016-01-04T13:13:43,8.43,4,R,HB2026,House,40,3,6907,2,Darin Mitchell,37
auditor general; charter schools,2016-01-25T16:06:13,8.52,4,D,SB1302,Senate,40,3,5385,2,Andrea Dalessandro,2
school district tax levy; retention,2016-02-08T17:36:43,8.52,4,R,HB2686,House,40,3,719,4,Heather Carter,81
firearms; university; college; campus,2016-01-08T11:38:29,8.13,4,R,HB2072,House,40,3,3110,3,Sonny Borrelli,35
technical correction; marriage,2016-01-11T12:57:10,10.22,2,R,SB1087,Senate,40,3,283,5,Don Shooter,13
job training fund; lottery revenues.,2016-02-01T14:21:00,8.85,3,D,SB1469,Senate,40,3,12223,1,Katie Hobbs,24
service animals; abuse; prohibited ownership,2016-01-19T14:18:46,8.56,4,D,SB1167,Senate,40,3,4142,2,Barbara McGuire,8
DUI; ignition interlock requirement; drugs,2016-02-02T14:16:36,8.14,4,R,HB2590,House,30.5,5,628,4,Sonny Borrelli,35
auxiliary containers; scrap metal dealers,2016-01-14T17:37:14,8.20,4,R,HB2444,House,27,5,293,5,David Livingston,41
state employees; meet and confer,2016-01-26T16:24:58,9.34,3,D,SB1334,Senate,47,2,2270,3,Martin Quezada,29
prisoners; community reentry; work program,2016-01-21T09:15:03,8.59,4,R,SB1247,Senate,40,3,911,4,Steve Smith,11
urging Congress; American Legion; membership,2016-02-03T15:13:52,8.11,4,R,HCM2009,House,28,5,660,4,Sonny Borrelli,35
early voting locations; extended hours,2015-12-29T11:47:07,8.74,3,D,SB1028,Senate,44,2,2135,3,Martin Quezada,29
oil and gas commission; continuation,2016-01-07T13:38:42,9.14,3,R,SB1059,Senate,40,3,190,5,Kimberly Yee,20
medical licensure compact,2016-01-14T18:01:14,22.25,1,R,HB2502,House,64,1,58981,1,Heather Carter,81
STO operational requirements,2016-01-26T12:07:11,10.44,2,D,SB1318,Senate,60,1,20806,1,Steve Farley,9
business entities; database; posting; requirements,2016-01-14T17:39:02,7.48,5,R,HB2447,House,24,5,1626,3,Steve Montenegro,66
animal control; mandatory impound periods,2016-01-21T17:35:00,8.99,3,D,HB2526,House,40,3,3665,3,Richard C. Andrade,76
school monies; early childhood literacy,2016-02-01T16:57:34,8.70,3,R,HCR2044,House,44,2,1916,3,Sonny Borrelli,35
private firearm transactions; prohibited encumbrances,2016-01-13T17:28:18,7.73,5,R,HB2224,House,40,3,680,4,Jay Lawrence,71
retirement plans; elected officials; opt-out,2016-01-20T10:10:53,8.58,4,R,SB1206,Senate,26,5,2223,3,Bob Worsley,25
death resolution; Honorable Jack Brown,2016-02-04T11:22:58,6.97,5,D,HCR2048,House,32,5,705,4,Debbie McCune Davis,85
firearm sales; transfers; background checks,2016-01-11T09:11:06,11.51,1,D,HB2091,House,56,1,8629,2,Randall Friese,45
mobile home parks; tree maintenance,2016-01-14T14:34:14,8.70,4,R,HB2304,House,40,3,242,5,Doug Coleman,55
adverse childhood experiences; prevention,2016-01-28T16:30:21,7.58,5,D,HCR2042,House,23,5,968,4,Juan Mendez,62
crimes; culpable mental state; requirement,2016-01-07T11:11:20,8.92,3,R,SB1057,Senate,44,2,1063,4,John Kavanagh,23
minimum wage; nonmonetary compensation..,2016-01-20T16:32:38,7.94,5,D,SB1234,Senate,43,2,74,5,David Bradley,10
grandfamily/kinship care month,2016-01-20T17:27:08,8.11,4,R,SCR1008,Senate,30,5,235,5,Debbie Lesko,21
Native American nations; interaction; coordination,2016-02-02T16:30:45,7.96,4,D,HCR2045,House,30.5,5,440,4,Jennifer D. Benally,39
community colleges; tuition waivers,2016-01-13T17:36:28,6.34,5,D,HB2229,House,15,5,102,5,Reginald Bolding Jr.,46
private prison contractors; public records,2016-01-13T14:49:51,7.82,5,D,HB2174,House,40,3,22,5,Richard C. Andrade,76
district boundary modifications; parcel lines,2016-01-12T10:47:04,9.53,2,R,HB2125,House,40,3,675,4,"Thomas R. Shope, Jr.",36
rulemaking exemption; one-year review,2016-01-28T14:06:43,9.47,3,R,SB1388,Senate,40,3,10164,2,Judy Burges,22
technical correction; designated representative,2016-01-14T15:21:26,11.61,1,R,HB2360,House,40,3,53,5,Heather Carter,81
DCS; intake hotline; reports,2016-01-21T15:13:31,9.10,3,R,HB2522,House,40,3,59459,1,Kate Brophy McGee,79
credit unions; meetings; actions,2016-01-14T16:13:40,9.38,3,R,HB2381,House,56,1,12870,1,Eddie Farnsworth,52
firearms; state preemption; independent contractors,2016-01-13T16:05:56,8.48,4,R,HB2220,House,40,3,4695,2,Anthony Kern,64
crimes against livestock; poultry; animals,2016-01-14T15:02:19,8.42,4,R,HB2330,House,40,3,1951,3,Brenda Barton,84
photo radar prohibition,2016-01-21T15:42:52,12.06,1,R,SCR1010,Senate,60,1,1890,3,Steve Smith,11
property tax; hotels and motels,2016-01-13T13:46:27,9.01,3,R,HB2185,House,40,3,651,4,Darin Mitchell,37
private fund advisers; exemption,2015-12-07T16:17:11,9.94,2,R,SB1005,Senate,44,2,5785,2,David C. Farnsworth,16
property tax exemptions; conforming changes.,2016-01-19T11:53:11,7.41,5,R,SB1158,Senate,23,5,1841,3,Judy Burges,22
corporate tax credits; annual report,2016-01-04T13:14:17,8.06,4,R,HB2027,House,40,3,39699,1,Darin Mitchell,37
technical correction; health services; monitoring,2016-01-29T08:25:07,8.99,3,R,HB2566,House,40,3,437,4,David M. Gowan Sr.,50
conservation districts; education centers,2016-01-19T16:53:23,6.79,5,R,SB1190,Senate,19,5,196,5,Gail Griffin,14
correctional programs; recidivism; study committee,2016-01-20T08:27:08,8.44,4,D,SB1204,Senate,40,3,1710,3,Andrew C. Sherwood,91
childrens health insurance program,2016-01-14T16:17:20,7.46,5,R,HB2309,House,40,3,1404,3,Regina Cobb,38
homebased businesses; detached buildings; storage,2016-01-27T08:50:46,7.68,5,R,SB1346,Senate,40,3,2901,3,David C. Farnsworth,16
medical marijuana; pregnancy exclusion,2016-01-06T16:48:10,12.56,1,R,HB2061,House,60,1,19477,1,Kelly Townsend,53
school bonds; technical correction,2016-01-19T16:14:42,9.31,3,R,SB1185,Senate,40,3,505,4,Debbie Lesko,21
prevention education; appropriation,2016-01-14T15:20:20,7.30,5,R,HB2358,House,27.5,5,446,4,Heather Carter,81
tax credit; unified sports programs,2016-01-14T15:18:02,12.44,1,R,HB2354,House,53.5,1,101,5,Heather Carter,81
STO; credit cap; allocation,2016-01-07T13:21:53,10.11,2,R,HB2063,House,52,2,21097,1,Doug Coleman,55
water resources; appropriation; Kayenta dam,2016-02-02T14:13:13,9.56,2,D,HB2588,House,40,3,1339,3,Albert Hale,51
contact lenses; prescriptions.,2016-01-21T16:45:32,8.05,4,R,HB2523,House,40,3,1576,3,Heather Carter,81
Arizona community schools pilot program,2016-02-01T14:05:00,7.71,5,D,SB1462,Senate,40,3,8122,2,David Bradley,10
unlawful use; booking photos; information,2016-01-13T15:40:35,8.17,4,R,HB2199,House,40,3,23,5,Jay Lawrence,71
service animals; licensing; fee waiver,2016-01-14T11:35:39,8.23,4,R,HB2255,House,48,2,3605,3,Kate Brophy McGee,79
reporting abuse; experts; liability; indemnification,2016-01-14T18:02:05,8.78,3,R,HB2463,House,31.5,5,3928,2,Kate Brophy McGee,79
legal tender exchange; tax exclusion,2016-01-06T10:33:37,11.77,1,R,HB2043,House,47,2,21626,1,Mark Finchem,80
Arizona pastor appreciation month,2016-01-14T18:28:47,7.13,5,R,HCR2033,House,16,5,71,5,Steve Montenegro,66
Article V; natural born citizen,2016-01-14T18:20:45,13.54,1,R,HCR2029,House,60,1,4242,2,Kelly Townsend,53
guardianship; proceedings; wards relationships,2016-01-25T14:21:21,10.93,1,R,SB1296,Senate,55.5,1,11846,1,Adam Driggs,28
post-traumatic stress injury awareness day,2016-01-13T16:13:41,6.33,5,R,HCR2018,House,52,2,1351,3,Jay Lawrence,71
DHS; state food standards,2016-01-13T13:43:37,9.74,2,D,HB2180,House,60,1,3240,3,Rosanna Gabald�n,59
separating service members; professional licenses,2016-01-21T16:44:04,8.94,3,D,HB2519,House,40,3,1771,3,Richard C. Andrade,76
school instruction; AIDS; homosexuality,2015-12-17T14:46:58,7.27,5,D,SB1019,Senate,40,3,3525,3,Martin Quezada,29
durable medical equipment suppliers; requirements,2016-01-14T11:44:48,8.31,4,R,HB2266,House,40,3,1078,4,Regina Cobb,38
criminal justice commission; membership; report.,2016-02-01T14:22:00,8.47,4,D,SB1471,Senate,40,3,74,5,Katie Hobbs,24
utilities TPT; sales of propane,2016-01-04T13:13:09,8.34,4,R,HB2025,House,40,3,16709,1,Darin Mitchell,37
special plates; regionally accredited institutions,2015-12-30T09:49:07,8.04,4,R,HB2022,House,40,3,24451,1,David W. Stevens,56
joint select committee on corrections.,2016-02-01T14:22:00,7.93,5,D,SB1472,Senate,44,2,3240,3,Katie Hobbs,24
rental properties; prohibited penalties,2016-02-03T16:13:30,8.53,4,D,HB2612,House,56,1,2214,3,Celeste Plumlee,92
nonprofit corporations; electronic voting,2016-02-02T16:21:48,14.77,1,R,HB2592,House,64,1,288,5,J. Christopher Ackerley,32
class six property; higher education.,2016-01-28T14:38:35,9.01,3,R,SB1402,Senate,40,3,655,4,Steve Yarbrough,17
wage rates; prohibitions,2016-01-27T14:27:40,12.35,1,D,SB1369,Senate,84,1,849,4,Barbara McGuire,8
schools; prior-year funding,2016-02-01T15:53:00,7.87,5,D,SB1489,Senate,40,3,7465,2,Katie Hobbs,24
special license plates; discontinuation,2016-01-13T15:36:32,8.27,4,D,HB2192,House,27.5,5,71,5,Jonathan R. Larkin,83
homeowners associations; enforcement grace period,2016-01-11T13:48:22,11.61,1,R,HB2106,House,56,1,11888,1,Phil Lovas,68
provisional ballots; tally; verification.,2016-01-06T16:28:41,11.42,1,D,HB2053,House,40,3,7162,2,Randall Friese,45
study committee; commercial space flight,2016-02-01T15:19:00,11.30,1,D,SB1484,Senate,60,1,3744,3,Andrew C. Sherwood,91
secured residential communities; process servers,2016-01-12T10:06:08,8.61,4,R,SB1088,Senate,40,3,3080,3,John Kavanagh,23
technical correction; certificate of title,2016-01-11T16:22:58,8.79,3,R,HB2118,House,40,3,2186,3,Warren H. Petersen,69
automatic voter registration; licenses; IDs,2016-01-11T10:50:29,9.35,3,D,HB2097,House,48,2,6369,2,Ken Clark,63
countywide elections; vote by mail,2016-01-25T14:27:12,8.86,3,R,HB2534,House,40,3,388,4,"Thomas R. Shope, Jr.",36
state monies; prohibited investments; terrorism,2016-01-27T13:46:56,9.20,3,R,HCR2040,House,34,5,1362,3,Steve Montenegro,66
county school superintendent; college degree,2015-12-04T08:56:51,8.85,3,R,HB2003,House,40,3,55,5,Mark Finchem,80
adjutant general; national guard rules,2016-01-20T12:37:39,9.14,3,R,SB1213,Senate,40,3,13798,1,Steve Smith,11
taxation; destination management companies vendors,2016-01-05T10:45:19,7.65,5,R,SB1041,Senate,40,3,325,5,John Kavanagh,23
theft; bicycle from school grounds,2016-02-01T15:17:00,9.33,3,D,SB1481,Senate,40,3,2871,3,Andrew C. Sherwood,91
universities; in-state tuition; AmeriCorps,2016-01-13T15:31:00,9.69,2,D,SB1122,Senate,55,1,5999,2,David Bradley,10
advisory council; Indian health care,2016-01-20T16:58:33,8.19,4,R,SB1238,Senate,40,3,2655,3,Carlyle Begay,7
transfer pupils; transcripts,2015-12-22T10:57:57,8.15,4,D,HB2012,House,28,5,54,5,Mark A. Cardenas,58
state offices; legal counsel; services,2016-02-05T10:19:58,9.70,2,R,HB2645,House,40,3,1791,3,David W. Stevens,56
STO scholarships; beneficiary recommendations,2016-01-13T16:09:49,8.90,3,D,HB2212,House,40,3,5087,2,Randall Friese,45
office of Indian education; assistance,2016-02-01T11:45:22,7.90,5,R,SB1451,Senate,40,3,382,4,Carlyle Begay,7
clean fuels; waiver; implementation plan,2016-01-14T17:59:22,10.78,1,R,HB2489,House,40,3,409,4,Russell Bowers,90
claims; licensed professionals; expert witness,2016-01-25T14:20:26,8.39,4,R,SB1294,Senate,35,5,1537,3,Adam Driggs,28
telecommunications utilities; relocation; reimbursement,2016-01-14T17:57:44,7.20,5,R,HB2486,House,19,5,86,5,Justin Olson,78
technical correction; prostitution; employment,2016-01-19T10:47:24,8.60,4,R,SB1155,Senate,40,3,586,4,Jeff Dial,18
expedited rulemaking; outdated rules,2016-01-14T17:40:48,10.23,2,R,HB2450,House,47.5,2,1529,3,Darin Mitchell,37
public construction piping materials; prohibition,2016-01-26T15:47:09,12.23,1,R,HB2549,House,52,2,35,5,Vince Leach,31
death penalty; repeal.,2016-01-14T13:25:15,7.90,5,D,HB2276,House,55,1,81301,1,Juan Mendez,62
substance abuse recovery homes,2016-01-11T14:19:10,8.40,4,R,HB2107,House,27.5,5,792,4,Noel W. Campbell,44
schools; partisan instruction prohibited,2016-01-13T15:37:12,10.89,1,R,HB2203,House,40,3,2781,3,Mark Finchem,80
insurance; pharmacy benefits; audits; pricing,2016-02-08T17:41:11,10.69,2,R,HB2692,House,48,2,13236,1,David Livingston,41
urging Congress; safe freight act,2016-02-08T17:46:03,7.86,5,D,HCM2011,House,40,3,4747,2,Jonathan R. Larkin,83
appropriation; water projects; Navajo nation,2016-01-14T14:59:52,8.60,4,D,HB2316,House,40,3,130,5,Albert Hale,51
study committee; Salt River horses,2016-02-01T15:48:08,9.09,3,R,HB2572,House,35,5,123,5,Kelly Townsend,53
VLT exemption; military members; spouses,2016-01-12T17:16:14,8.93,3,R,HB2153,House,40,3,1913,3,Sonny Borrelli,35
public buildings; energy conservation,2016-01-05T15:12:10,8.09,4,D,SB1046,Senate,44,2,2833,3,Andrew C. Sherwood,91
election of judges; terms; salary,2016-01-06T10:31:21,8.30,4,R,HB2039,House,47,2,61536,1,Mark Finchem,80
limited service pregnancy centers; licensure,2016-01-14T18:17:37,8.60,4,D,HB2409,House,35,5,531,4,Juan Mendez,62
TPT exemptions; health sciences institutions,2016-02-08T16:21:25,9.03,3,R,HB2669,House,40,3,4942,2,David Livingston,41
natural resource conservation division; appropriation.,2016-02-08T14:32:55,6.75,5,R,HB2658,House,35,5,1301,3,Franklin M. Pratt,73
pest management division,2016-01-25T09:38:18,7.98,4,R,SB1270,Senate,40,3,1341,3,Gail Griffin,14
power of attorney; notice; duties,2016-02-01T15:51:03,10.01,2,D,HB2576,House,50,2,22615,1,Debbie McCune Davis,85
controlled substances prescription monitoring program,2016-01-25T11:13:25,8.55,4,R,SB1283,Senate,40,3,1677,3,John Kavanagh,23
surcharges; clean elections; education funding,2016-01-28T14:43:38,8.50,4,R,SCR1016,Senate,27.5,5,863,4,Jeff Dial,18
technical correction; electromagnetic pulse preparedness,2016-01-14T14:55:53,7.48,5,R,HB2335,House,27.5,5,52,5,Brenda Barton,84
schools; English language requirement; repeal,2016-01-13T14:19:13,8.47,4,D,HCR2017,House,20,5,32,5,Macario Saldate,72
animal cruelty; sentencing; bond,2016-01-20T15:26:42,8.70,4,R,SB1227,Senate,40,3,3919,2,John Kavanagh,23
behavior analysis; definition,2016-01-13T15:30:37,8.78,3,D,SB1121,Senate,40,3,11062,1,David Bradley,10
local governments; permits; equipment,2016-01-14T17:57:54,7.41,5,R,HB2497,House,40,3,8271,2,Darin Mitchell,37
uniform transfers to minors; age,2016-01-20T08:37:30,12.70,1,D,SB1200,Senate,51.5,2,567,4,Andrew C. Sherwood,91
wildfire suppression; joint study committee,2016-01-14T18:10:34,9.33,3,D,HB2455,House,60,1,2228,3,Lisa A. Otondo,82
motor vehicle insurance; nonrenewal,2016-01-14T17:37:49,9.80,2,R,HB2445,House,55.5,1,39616,1,David Livingston,41
purple heart special plate parking,2016-01-20T16:31:43,7.96,4,D,SB1232,Senate,40,3,191,5,Catherine Miranda,27
small business income; tax subtraction,2016-01-21T14:18:40,10.93,1,D,SB1264,Senate,43.5,2,18771,1,Barbara McGuire,8
empowerment scholarships; persons with disabilities,2016-02-01T13:50:00,13.56,1,D,SB1457,Senate,60,1,2794,3,David Bradley,10
student tuition scholarships; revenue department,2016-02-03T15:11:41,10.43,2,D,HB2608,House,56,1,10035,2,Charlene R. Fernandez,34
electronic notice; hearings; ordinances,2015-12-30T09:47:57,9.19,3,R,HB2020,House,51,2,61922,1,David W. Stevens,56
dependency; households; felony reports,2016-02-02T14:11:47,7.48,5,R,HB2586,House,40,3,879,4,Kate Brophy McGee,79
peace officer employment; study committee,2016-02-08T17:29:39,10.90,1,R,HB2677,House,44,2,2069,3,Tony Rivero,61
extracurricular activity credit; optional fees,2015-12-14T13:11:56,13.07,1,R,HB2008,House,55,1,254,5,Jill Norgaard,57
probation; juvenile; adult,2016-01-25T14:22:17,10.54,2,R,SB1298,Senate,40,3,37396,1,Adam Driggs,28
critical health information; emergency responders,2016-01-13T13:43:02,8.45,4,D,HB2179,House,48,2,7026,2,Rosanna Gabald�n,59
sex education curricula; requirements,2016-01-14T16:43:15,8.87,3,D,HB2410,House,60,1,1913,3,Juan Mendez,62
license plate issuance; replacement; design,2016-02-01T15:54:00,10.24,2,R,SB1491,Senate,40,3,3017,3,Bob Worsley,25
JCCR; membership,2016-01-13T15:36:39,8.49,4,R,HB2202,House,34,5,457,4,David Livingston,41
funeral establishments; procurement organizations,2016-01-14T17:39:55,10.25,2,R,HB2475,House,48,2,4913,2,Jill Norgaard,57
criminal cases; arrests; records; erasure,2016-01-25T10:17:33,15.11,1,D,SB1273,Senate,51.5,2,573,4,Martin Quezada,29
medical marijuana card; fees; prohibition,2016-01-14T16:33:50,11.21,1,R,HB2404,House,43,2,1468,3,Vince Leach,31
public assistance; limitations; benefit card,2016-02-02T16:24:38,7.20,5,R,HB2596,House,48,2,21406,1,Justin Olson,78
board of executive clemency; membership.,2016-02-08T17:32:19,9.91,2,D,HB2681,House,40,3,822,4,Ceci Velasquez,74
appropriations; education,2016-02-04T18:27:56,7.91,5,D,HB2624,House,40,3,2520,3,Eric Meyer,42
return-to-work program,2016-01-27T14:25:50,8.77,3,D,SB1365,Senate,40,3,2305,3,Olivia Cajero Bedford,3
schools; statewide achievement assessments; menu.,2016-01-26T09:09:34,9.78,2,R,HB2544,House,35,5,184,5,Paul Boyer,60
financial disclosure; model legislation; lobbying,2016-01-19T15:53:17,10.10,2,D,SB1174,Senate,63.5,1,34378,1,Steve Farley,9
fuel taxes; exemption; Navajo reservation,2016-01-28T14:04:46,7.90,5,R,SB1384,Senate,35,5,269,5,Carlyle Begay,7
2016 tax correction act,2016-01-25T13:49:02,8.11,4,R,SB1289,Senate,56,1,79875,1,Debbie Lesko,21
personal property tax; exemption,2016-01-14T18:27:05,8.46,4,R,HCR2031,House,28,5,691,4,Javan D. Mesnard,77
contact lenses; prescriptions,2016-01-25T14:25:36,7.97,4,R,HB2532,House,40,3,1608,3,Heather Carter,81
foster care review board; continuation,2016-01-19T10:42:32,9.63,2,R,HB2260,House,35,5,188,5,Kate Brophy McGee,79
behavioral health; urgent need; children,2016-01-14T17:36:05,9.75,2,R,HB2442,House,40,3,153,5,Eddie Farnsworth,52
amusement gambling; definition; money,2016-02-01T16:36:00,9.49,3,R,SB1515,Senate,40,3,1065,4,Adam Driggs,28
charitable organizations; campaign finance disclosure,2016-01-14T13:58:17,8.10,4,R,HB2296,House,40,3,20,5,Javan D. Mesnard,77
